ForecastID,CropID,ExpectedYield,ForecastDate
701,106,854,2024-08-28
702,117,428,2024-02-08
703,115,781,2024-01-05
704,113,958,2024-04-10
705,105,126,2024-08-02
706,102,698,2024-11-10
707,117,706,2024-02-24
708,101,183,2024-01-03
709,117,755,2024-08-26
710,111,262,2024-06-20
711,118,289,2024-09-16
712,120,178,2024-09-14
713,114,241,2024-10-18
714,113,702,2024-08-14
715,124,710,2024-12-15
716,117,112,2024-08-11
717,125,861,2024-03-17
718,103,362,2024-11-01
719,105,267,2024-01-14
720,114,810,2024-09-15
721,114,852,2024-03-27
722,107,413,2024-08-04
723,124,515,2024-06-24
724,103,112,2024-02-08
725,124,720,2024-02-04