IrrigationID,CropID,IrrigationDate,WaterAmount,Method
401,123,2024-02-19,49,Phun suong
402,119,2024-01-24,40,Phun suong
403,102,2024-04-12,24,Ngap ung
404,103,2024-12-27,37,Phun suong
405,124,2024-06-19,33,Phun suong
406,112,2024-01-21,21,Nho giot
407,109,2024-07-17,37,Nho giot
408,114,2024-07-21,5,Phun suong
409,122,2024-03-09,18,Phun suong
410,121,2024-12-10,37,Nho giot
411,109,2024-04-16,29,Phun suong
412,125,2024-05-09,45,Ngap ung
413,122,2024-06-21,17,Ngap ung
414,114,2024-04-25,28,Nho giot
415,125,2024-03-22,29,Ngap ung
416,115,2024-11-16,37,Ngap ung
417,108,2024-11-29,9,Nho giot
418,113,2024-09-27,38,Nho giot
419,104,2024-09-20,28,Nho giot
420,120,2024-12-03,8,Phun suong
421,120,2024-08-20,36,Phun suong
422,112,2024-11-18,8,Phun suong
423,120,2024-06-27,32,Nho giot
424,113,2024-05-09,50,Ngap ung
425,101,2024-10-22,40,Ngap ung